genus,counts
Psychotria,74
Protium,63
Otoba,54
Pouteria,41
Triplaris,35
Brosimum,22
Couepia,22
Inga,22
Cordia,20
Nectandra,16
Cecropia,16
Eschweilera,15
Duguetia,15
Miconia,14
Manilkara,13
Erisma,12
Minquartia,11
Dialium,11
Couratari,10
Rinorea,9
Conceveiba,9
Couma,9
Casearia,9
Mezilaurus,8
Lecythis,8
Ocotea,8
Guarea,8
Dinizia,7
Pseudopiptadenia,7
Carapa,7
NA_3,6
Pterocarpus,6
Aspidosperma,6
Naucleopsis,6
Trichilia,5
NA_2,5
Siparuna,5
Hymenaea,5
Neea,4
Theobroma,4
Xylopia,4
Eugenia,4
Zygia,4
Thyrsodium,4
Sloanea,4
Mouriri,3
Virola,3
Simarouba,3
Vatairea,3
Vismia,3
Quararibea,3
Anacardium,3
Rollinia,2
Tabebuia,2
Talisia,2
Jacaranda,2
Qualea,2
Garcinia,2
Pseudolmedia,2
Clarisia,2
Apeiba,2
Heisteria,2
Quiina,2
Dipteryx,2
Dulacia,2
Ecclinusa,2
Physocalymma,1
Stryphnodendron,1
Bauhinia,1
Schefflera,1
Ampelocera,1
Parkia,1
Leonia,1
Iryanthera,1
Tapirira,1
Ryania,1
Maquira,1
Banara,1
Bertholletia,1
Myrcia,1
Mabea,1
Ormosia,1
Cupania,1
Agonandra,1
Astronium,1
Tetragastris,1
Perebea,1
Pourouma,1
Acalypha,1
Psidium,1
Unonopsis,1
Cariniana,1
Sorocea,1
Caryodendron,1
