genus,counts
Eschweilera,68
Pouteria,65
Rinorea,56
Protium,48
Inga,30
Cecropia,27
Pausandra,24
Guarea,20
Drypetes,19
Otoba,16
Couepia,16
Xylopia,15
Swartzia,14
Carapa,14
Triplaris,13
Trichilia,12
Brosimum,12
Mezilaurus,11
Casearia,10
Manilkara,10
Tapirira,10
Nectandra,9
Ocotea,9
Neea,8
Jacaranda,7
Aspidosperma,7
Hevea,6
Minquartia,6
Ecclinusa,6
Naucleopsis,6
Sloanea,6
Virola,6
Dinizia,5
Banara,5
Caryodendron,5
Theobroma,4
Quararibea,4
Couratari,4
Dialium,4
Bixa,4
Siparuna,3
Cordia,3
Vataireopsis,3
Eugenia,3
Poecilanthe,3
Tetragastris,3
Guatteria,3
Pterocarpus,3
Mabea,3
Apeiba,3
NA_1,3
Dussia,2
Tapura,2
Carica,2
Oenocarpus,2
NA_3,2
Miconia,2
Astronium,2
Schefflera,2
Heisteria,2
Couma,2
Duguetia,2
Lecythis,2
NA_2,2
Bertholletia,2
Stryphnodendron,2
Psychotria,2
Maquira,2
Vatairea,2
Simarouba,2
Matisia,2
Ampelocera,1
Myrcia,1
Cariniana,1
Tabebuia,1
Sapium,1
Eriotheca,1
Cedrela,1
Copaifera,1
Capirona,1
Clarisia,1
Pseudolmedia,1
Leonia,1
Humiria,1
Perebea,1
Talisia,1
Buchenavia,1
Anacardium,1
Ormosia,1
Pseudopiptadenia,1
Calycophyllum,1
Garcinia,1
Alibertia,1
Hirtella,1
Pourouma,1
Erisma,1
Iryanthera,1
Duroia,1
Dipteryx,1
Lacunaria,1
Tachigali,1
